huc12,bd_positive,n
171003090107,0,9
171003090107,1,1
171003110601,0,20
180101010305,0,18
180101010305,1,1
180101020106,0,12
180101020106,1,35
180101060103,0,242
180101060103,1,123
180101060305,0,3
180101060305,1,1
180101060403,0,1
180102111206,0,2
180200031008,0,11
180200031008,1,6
180201210606,0,32
180201210606,1,8
180201210803,0,9
180201210803,1,2
180201220802,0,1
180201220803,0,116
180201220803,1,94
180201220804,0,6
180201220804,1,9
180201250402,0,1
180201250402,1,3
180201250803,0,4
180201260101,0,2
180201260101,1,8
180201260102,0,2
180201260103,0,2
180201260103,1,3
180201540105,0,7
180201540105,1,3
180201550301,0,6
180201620503,0,23
180201620503,1,6
180300090601,0,89
180300090601,1,8
180300090605,0,22
180300120602,0,11
180400090602,0,1
180400120404,0,11
180400120404,1,2
180400140302,0,2
180400140304,0,3
180400140304,1,3
180500030103,0,117
180500030103,1,127
180500040103,0,14
180500040103,1,5
180500040601,1,2
180500040602,0,112
180500040602,1,94
180500050101,1,2
180600020501,0,21
180600020501,1,6
180600020502,0,75
180600020502,1,21
180600020503,0,2
180600050602,0,7
180600050602,1,1
180600060306,0,6
180600060306,1,16
