boylii_clade,field_or_museum,bd_positive,n,prevalence
N. Coast,Field,0,374,0.6549912434325744
N. Coast,Field,1,197,0.3450087565674256
C. Coast,Field,0,428,0.6248175182481752
C. Coast,Field,1,257,0.37518248175182484
S. Coast,Field,0,7,0.2916666666666667
S. Coast,Field,1,17,0.7083333333333334
Feather,Field,0,194,0.6258064516129033
Feather,Field,1,116,0.3741935483870968
N. Sierra,Field,0,11,0.44
N. Sierra,Field,1,14,0.56
S. Sierra,Field,0,12,0.8571428571428571
S. Sierra,Field,1,2,0.14285714285714285
N. Coast,Museum,0,95,0.9693877551020408
N. Coast,Museum,1,3,0.030612244897959183
C. Coast,Museum,0,83,0.8469387755102041
C. Coast,Museum,1,15,0.15306122448979592
S. Coast,Museum,0,159,0.95783132530120485
S. Coast,Museum,1,7,0.04216867469879518
Feather,Museum,0,2,0.3333333333333333
Feather,Museum,1,4,0.6666666666666666
N. Sierra,Museum,0,17,0.6538461538461539
N. Sierra,Museum,1,9,0.34615384615384615
S. Sierra,Museum,0,66,0.9850746268656716
S. Sierra,Museum,1,1,0.014925373134328358
